Image Name	Spearman Correlation
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_12051.JPEG	-0.372692
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_11090.JPEG	0.385399
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_13560.JPEG	0.261941
/data/data0/Bhargava/imagenet_10/val/n03000684/ILSVRC2012_val_00004262.JPEG	0.272862
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_10212.JPEG	-0.089194
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_19890.JPEG	0.111071
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_32351.JPEG	-0.031592
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_6142.JPEG	0.337661
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_23960.JPEG	-0.259174
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_3952.JPEG	0.219259
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_19771.JPEG	0.256593
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_26901.JPEG	0.000764
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_8800.JPEG	0.335504
/data/data0/Bhargava/imagenet_10/val/n03000684/ILSVRC2012_val_00026061.JPEG	0.394115
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_9752.JPEG	0.327287
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_12670.JPEG	0.164213
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_20650.JPEG	-0.157372
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_400.JPEG	-0.243458
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_440.JPEG	0.759127
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_13402.JPEG	-0.175209
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_10960.JPEG	0.289139
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_16312.JPEG	-0.024763
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_28711.JPEG	0.413671
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_1752.JPEG	-0.187020
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_410.JPEG	0.377885
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_18242.JPEG	0.250802
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_19650.JPEG	0.013876
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_12470.JPEG	-0.154309
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_16691.JPEG	0.075946
/data/data0/Bhargava/imagenet_10/val/n03000684/n03000684_6761.JPEG	0.513126
